country,total_data_centers,hyperscale_data_centers,colocation_data_centers,floor_space_sqft_total,power_capacity_MW_total,average_renewable_energy_usage_percent,internet_penetration_percent,growth_rate_of_data_centers_percent_per_year,tier_I,tier_II,tier_III,tier_IV,has_tier_info,num_cooling_technologies,region
Libya,1.9459101490553132,0.0,1.9459101490553132,10.308985993422082,2.772588722239781,88.0,88.0,6.55250788703459,0.0,1.0,1.0,0.0,1.0,4.0,Middle East
Liechtenstein,1.791759469228055,0.0,1.791759469228055,8.366602832783736,1.0986122886681098,97.0,97.0,6.2166061010848646,0.0,1.0,1.0,0.0,1.0,4.0,Europe
Lithuania,3.044522437723423,0.0,2.5649493574615367,12.611541086966115,5.017279836814924,76.0,89.0,7.0909098220799835,0.0,1.0,1.0,0.0,1.0,4.0,Europe
Luxembourg,2.833213344056216,0.0,2.772588722239781,12.611541086966115,5.017279836814924,100.0,100.0,7.313886831633462,0.0,0.0,1.0,1.0,1.0,4.0,Europe
Madagascar,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Africa
Malawi,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,27.700000000000003,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Africa
Malaysia,3.5553480614894135,0.0,3.5553480614894135,14.845130332288226,6.340359303727752,100.0,81.0,7.170888478512505,0.0,1.0,1.0,0.0,1.0,5.0,Asia
Maldives,0.6931471805599453,0.0,0.6931471805599453,0.0,0.0,0.0,84.7,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Asia
Mali,1.0986122886681098,0.0,1.0986122886681098,0.0,0.0,0.0,35.1,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Africa
Malta,1.3862943611198906,0.0,1.3862943611198906,0.0,0.0,0.0,93.5,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Europe
Marshall Islands,0.0,0.0,0.0,0.0,0.0,0.0,73.0,2.5494451709255768,0.0,0.0,1.0,0.0,0.0,2.0,Oceania
Mauritania,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,37.400000000000006,5.673323267171493,0.0,0.0,1.0,0.0,0.0,3.0,Africa
Mauritius,2.3978952727983707,0.0,2.3978952727983707,0.0,0.0,0.0,79.5,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Africa
Micronesia,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Oceania
Moldova,2.0794415416798357,0.0,2.0794415416798357,0.0,0.0,0.0,94.3,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Europe
Monaco,1.3862943611198906,0.0,1.3862943611198906,0.0,0.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Europe
Mongolia,1.3862943611198906,0.0,1.3862943611198906,0.0,0.0,0.0,83.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,Asia
Montenegro,0.0,0.0,0.0,0.0,0.0,89.8,89.8,0.0,1.0,0.0,0.0,0.0,1.0,3.0,Europe
